model,batch_size,seq_len,total_tokens,pytorch_latency_ms,cutile_latency_ms,pytorch_throughput,cutile_throughput,speedup,pytorch_std,cutile_std
nano,1,64,64,0.6538073221842448,0.9850899378458658,97888.16648028397,64968.68716368301,0.6637031778173985,0.013456038950617796,0.14058389047208694
nano,1,128,128,0.7606426874796549,1.1155128479003906,168278.74915109028,114745.42874241258,0.6818771194893277,0.010207820920960207,0.17195988458888042
nano,1,256,256,0.982062021891276,1.2354691823323567,260676.0003884375,207208.72981769996,0.7948899381183342,0.2272176753172107,0.14387107596772905
nano,4,64,256,0.9044249852498373,1.1710484822591145,283052.77294974646,218607.5161517998,0.7723207014495902,0.08249408438295389,0.011472027731416227
nano,4,128,512,1.4209985733032227,1.5743494033813477,360310.0028523011,325213.70345130464,0.9025941574667212,0.19374198824716238,0.12044833545634326
nano,4,256,1024,2.638125419616699,2.819474538167318,388154.4040270761,363188.24168761907,0.9356798168964856,0.5835717695373882,0.5011475842954471
nano,8,64,512,1.5113592147827148,1.6580263773600261,338767.9083781609,308800.8773510746,0.9115411162451827,0.19626823787744346,0.2283415355573213
nano,8,128,1024,2.3273309071858725,2.528087298075358,439989.00063514605,405049.3037877193,0.9205896129289831,0.264548534365436,0.5021389712430199
nano,8,256,2048,4.917224248250325,4.864327112833659,416495.1396570394,421024.3169289988,1.0108745021026868,0.5463780420435159,0.47959013303066017
nano,16,64,1024,2.279988924662272,2.4928808212280273,449124.9886890052,410769.73727751797,0.9146000503702852,0.25013622085780335,0.31659480548874847
nano,16,128,2048,4.747994740804036,5.190475781758626,431339.98915364995,394568.83840927994,0.914751352369345,0.6696017316671181,1.2814020055673117
nano,16,256,4096,8.152461051940918,9.633461634318033,502424.9700677606,425184.648621893,0.8462649628352459,0.7804106111510718,0.7198123729331867
small,1,64,64,2.1479368209838867,4.136466979980469,29796.03467604977,15472.14091391156,0.5192684557569051,0.4324412822975742,0.3860584702781832
small,1,128,128,2.848219871520996,4.7938187917073565,44940.350736211214,26701.050991210243,0.594144250184847,0.4363449316860076,0.38889224642197334
small,1,256,256,4.533918698628743,6.798982620239258,56463.29742909278,37652.69221867658,0.6668525207186357,0.36279350434309215,0.3850598819936671
small,4,64,256,4.548390706380208,6.841301918029785,56283.64327648868,37419.77814563767,0.6648428560641703,0.36832328001411585,0.6307864299944537
small,4,128,512,7.8986406326293945,10.10118325551351,64821.28049792781,50687.13110620343,0.7819520181774837,0.7475815676878678,0.957655764880364
small,4,256,1024,13.708146413167318,18.443497021993,74700.10672022002,55520.92419235507,0.7432509353741864,1.3034110513663246,1.1899257423780818
small,8,64,512,6.494935353597005,9.496394793192545,78830.65375184154,53915.19741439407,0.6839369566072458,0.512551844851198,0.5534502377720705
small,8,128,1024,12.281513214111328,16.127888361612957,83377.34790069963,63492.502988629894,0.7615078266131455,0.7125697129507866,1.2411981327400392
small,8,256,2048,27.091749509175617,35.87753772735596,75594.97031767438,57083.07006917139,0.7551173025042536,2.0623216918282687,0.878636512574098
small,16,64,1024,14.031291007995605,19.00181770324707,72979.74216460073,53889.581301741295,0.7384183569763386,0.8106290516686626,0.9283579616089909
small,16,128,2048,28.838348388671875,31.740276018778484,71016.54964417047,64523.698495512224,0.9085727033882836,1.204516800546218,1.1123589739893576
small,16,256,4096,69.89729404449463,71.97298208872478,58600.26566110847,56910.24438796563,0.9711601772777548,1.3684021608608323,1.6883545868859575
medium,1,64,64,3.7711302439371743,5.585114161173503,16971.03941262502,11459.031660429442,0.6752109509512357,0.5173225973489323,0.7848828760907611
medium,1,128,128,4.375235239664714,7.751941680908203,29255.569812472295,16511.992126468598,0.5644050767874352,0.7591816974588127,0.839723307222418
medium,1,256,256,6.920655568440755,10.333752632141113,36990.71532578489,24773.188319194145,0.6697136862861814,0.7904090364352078,0.7965060622928233
medium,4,64,256,6.758530934651692,10.236748059590658,37878.0540438842,25007.94182974518,0.660222454954308,0.6188575762462306,0.586364285096402
medium,4,128,512,7.664370536804199,16.43702983856201,66802.61575838266,31149.179932667947,0.4662868299249078,0.7698259670363058,0.4769740081152514
medium,4,256,1024,24.105993906656902,32.49247074127197,42479.06159626221,31514.993370427634,0.7418947638240831,0.8225659531839546,0.8774815012820985
medium,8,64,512,7.397007942199707,17.203799883524578,69217.17591771876,29760.86698673604,0.4299636122414757,0.8838919996672472,0.7292545769727835
medium,8,128,1024,23.048710823059082,29.0773868560791,44427.64750970537,35216.36951313306,0.7926678878380838,1.1404615456022198,0.9391855521855438
medium,8,256,2048,50.01737276713053,62.23125457763672,40945.77317235395,32909.50847608277,0.8037339614410515,1.2575626381326797,1.698050768671584
medium,16,64,1024,21.793429056803387,30.561145146687824,46986.63974957771,33506.597841310926,0.7131090458881358,1.1507825554013542,0.6518782986515097
medium,16,128,2048,45.90169588724772,51.09551747639974,44617.087896505574,40081.793886243366,0.8983507390535584,1.2880788664379113,1.7604995745308254
medium,16,256,4096,111.03823184967041,113.61403465270996,36888.19545996903,36051.88401697431,0.9773284804917531,1.90971530507622,2.117657256338511
